,Unnamed: 0.1,Unnamed: 0,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
0,0.0,0.0,Golden State Warriors,Sacramento Kings,22200042,130,125,0.5,0.465,0.348,0.82,37.2,29.1,16.6,9.4,3.1,4.0,110.3,108.7,0.589,0.0,0.465,0.392,0.622,40.2,25.6,14.1,6.5,5.0,-4.5,109.0,113.0,0.572,1,10/23/2022
1,1.0,1.0,Los Angeles Lakers,Portland Trail Blazers,22200037,104,106,0.0,0.388,0.224,0.804,39.4,21.1,14.7,11.5,4.1,-9.2,94.5,103.2,0.489,1.0,0.441,0.368,0.826,43.8,16.2,15.2,9.0,3.3,4.3,108.6,104.8,0.569,0,10/23/2022
2,2.0,2.0,LA Clippers,Phoenix Suns,22200043,95,112,1.0,0.484,0.353,0.755,48.3,20.7,17.7,7.4,4.9,3.9,105.4,101.0,0.581,0.5,0.464,0.367,0.791,40.1,27.7,14.4,8.9,3.0,0.0,107.9,106.9,0.551,0,10/23/2022
3,3.0,3.0,Cleveland Cavaliers,Washington Wizards,22200039,117,107,0.5,0.531,0.473,0.854,43.7,28.9,17.8,4.6,5.1,14.7,118.3,103.6,0.647,1.0,0.483,0.368,0.829,45.1,23.0,16.7,6.4,8.8,4.4,105.9,103.0,0.576,1,10/23/2022
4,4.0,4.0,Atlanta Hawks,Charlotte Hornets,22200038,109,126,1.0,0.475,0.357,0.875,40.4,26.9,12.5,10.6,3.4,9.6,108.2,99.0,0.572,0.5,0.482,0.413,0.838,41.9,26.7,13.8,7.6,6.7,7.1,114.8,108.1,0.581,0,10/23/2022
5,5.0,5.0,Oklahoma City Thunder,Minnesota Timberwolves,22200041,106,116,0.0,0.415,0.349,0.8,49.3,24.2,12.8,7.6,5.2,-5.7,106.6,113.9,0.529,0.5,0.438,0.296,0.786,52.8,20.6,15.6,5.0,5.5,0.5,110.6,109.1,0.534,0,10/23/2022
6,6.0,6.0,New Orleans Pelicans,Utah Jazz,22200040,121,122,1.0,0.482,0.417,0.806,55.3,26.2,14.1,8.7,5.3,16.5,123.3,107.3,0.582,1.0,0.469,0.409,0.712,44.9,30.6,15.3,9.7,4.2,12.5,118.1,106.0,0.588,0,10/23/2022
7,7.0,7.0,Philadelphia 76ers,Indiana Pacers,22200044,120,106,0.0,0.457,0.315,0.812,40.1,20.6,12.5,7.0,4.5,-7.0,108.0,115.4,0.559,0.333,0.444,0.353,0.791,44.8,25.4,13.2,6.9,8.2,-0.3,114.4,114.7,0.547,1,10/24/2022
8,8.0,8.0,Chicago Bulls,Boston Celtics,22200047,120,102,0.333,0.422,0.293,0.802,39.7,20.3,12.7,10.7,5.3,-8.7,104.0,111.9,0.531,1.0,0.52,0.391,0.845,39.7,22.3,13.4,5.8,6.8,7.5,124.3,116.8,0.65,1,10/24/2022
9,9.0,9.0,New York Knicks,Orlando Magic,22200046,115,102,0.5,0.461,0.333,0.725,49.5,27.1,11.4,5.2,5.2,10.0,115.2,104.7,0.546,0.0,0.46,0.347,0.736,46.4,19.2,15.2,6.3,6.3,-6.6,108.3,114.5,0.559,1,10/24/2022
10,10.0,10.0,Miami Heat,Toronto Raptors,22200045,90,98,0.333,0.472,0.369,0.843,42.7,24.4,15.3,5.4,2.4,-4.1,109.8,113.9,0.581,0.333,0.444,0.392,0.718,41.0,23.4,11.7,11.4,4.5,-1.4,111.0,112.8,0.553,0,10/24/2022
11,11.0,11.0,Houston Rockets,Utah Jazz,22200048,114,108,0.0,0.43,0.383,0.731,47.4,20.5,14.3,5.5,4.9,-12.0,108.4,120.8,0.533,1.0,0.459,0.389,0.75,43.3,29.1,15.3,10.4,4.6,8.6,115.6,107.1,0.576,1,10/24/2022
