,Unnamed: 0,Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
21,21,Toronto Raptors,Milwaukee Bucks,0.25,0.425,0.333,0.693,47.6,25.1,15.7,7.3,5.6,-3.3,100.8,103.5,0.513,0.667,0.488,0.351,0.733,40.1,21.2,16.7,8.7,3.8,-2.6,112.2,114.4,0.6,1,11/01/2023
22,22,Boston Celtics,Indiana Pacers,1.0,0.485,0.359,0.769,50.7,23.0,15.3,8.0,7.7,10.3,117.7,107.3,0.595,0.667,0.478,0.37,0.852,46.8,32.1,11.9,6.4,5.4,9.0,119.6,110.6,0.589,1,11/01/2023
23,23,Miami Heat,Brooklyn Nets,0.25,0.427,0.386,0.807,44.1,24.4,12.3,8.1,3.0,-7.8,105.3,112.3,0.535,0.333,0.517,0.408,0.765,46.6,27.7,15.6,4.9,5.9,2.0,119.2,118.0,0.625,0,11/01/2023
24,24,Atlanta Hawks,Washington Wizards,0.5,0.49,0.359,0.835,40.7,27.1,13.1,9.7,3.9,4.6,117.2,113.1,0.599,0.333,0.446,0.34,0.753,40.9,24.8,12.9,8.5,5.7,-11.0,106.9,118.3,0.549,1,11/01/2023
25,25,New York Knicks,Cleveland Cavaliers,0.5,0.413,0.372,0.701,49.8,22.8,15.0,8.5,2.5,2.8,106.5,103.5,0.525,0.25,0.426,0.325,0.725,46.1,23.3,11.5,7.0,6.5,-8.0,106.0,113.8,0.518,0,11/01/2023
26,26,Houston Rockets,Charlotte Hornets,0.0,0.439,0.293,0.691,38.7,23.7,14.7,6.7,3.0,-15.0,101.0,115.2,0.517,0.333,0.456,0.271,0.8,41.3,27.4,14.8,8.2,4.7,-5.7,106.0,112.0,0.55,1,11/01/2023
27,27,Oklahoma City Thunder,New Orleans Pelicans,0.75,0.485,0.405,0.819,40.1,23.4,14.5,7.6,6.9,0.5,111.1,111.7,0.596,0.667,0.445,0.317,0.625,44.1,21.4,14.8,7.9,4.3,-3.9,101.6,105.2,0.527,0,11/01/2023
28,28,Minnesota Timberwolves,Denver Nuggets,0.333,0.442,0.367,0.733,49.2,24.7,14.7,7.4,5.7,-0.3,104.7,106.1,0.529,1.0,0.538,0.381,0.65,44.0,31.2,14.6,8.2,7.2,14.6,118.9,103.6,0.616,1,11/01/2023
29,29,Dallas Mavericks,Chicago Bulls,1.0,0.485,0.408,0.76,43.9,21.9,11.6,4.8,3.9,8.7,121.3,111.9,0.612,0.5,0.416,0.294,0.806,42.3,19.6,12.6,9.4,4.7,-6.9,104.5,111.1,0.51,1,11/01/2023
30,30,Utah Jazz,Memphis Grizzlies,0.25,0.439,0.336,0.756,48.4,26.1,14.9,6.2,3.2,-10.9,109.2,119.8,0.534,0.0,0.436,0.344,0.781,42.2,22.8,15.5,9.0,6.3,-8.0,102.9,110.9,0.543,1,11/01/2023
31,31,Golden State Warriors,Sacramento Kings,0.75,0.463,0.354,0.765,50.0,26.4,14.7,9.2,5.5,10.7,114.9,104.8,0.571,0.667,0.457,0.345,0.74,41.2,25.7,11.1,6.8,5.6,4.0,116.4,112.4,0.566,1,11/01/2023
32,32,Los Angeles Lakers,LA Clippers,0.5,0.462,0.292,0.772,43.3,24.7,13.6,7.3,6.1,-2.2,106.5,109.0,0.556,0.75,0.516,0.423,0.727,42.5,25.8,16.2,10.8,5.4,16.2,118.4,102.2,0.625,1,11/01/2023
33,33,Philadelphia 76ers,Toronto Raptors,0.667,0.5,0.407,0.809,43.9,25.9,14.0,8.6,9.3,11.3,118.6,107.7,0.622,0.4,0.453,0.347,0.73,48.4,27.2,16.3,7.3,5.7,1.2,107.3,105.5,0.544,1,11/02/2023
34,34,New Orleans Pelicans,Detroit Pistons,0.75,0.431,0.315,0.613,47.1,21.6,13.7,7.8,4.4,-2.0,102.7,104.4,0.514,0.4,0.459,0.401,0.789,47.7,27.7,18.4,6.3,6.3,1.2,107.7,106.5,0.556,1,11/02/2023
35,35,Phoenix Suns,San Antonio Spurs,0.5,0.474,0.343,0.831,46.9,24.3,17.9,7.4,5.9,4.9,108.8,103.9,0.582,0.5,0.465,0.333,0.744,38.3,26.2,17.5,9.0,5.7,-9.9,104.7,115.2,0.564,0,11/02/2023
36,36,Utah Jazz,Orlando Magic,0.4,0.458,0.376,0.745,48.0,27.5,15.9,6.3,3.1,-3.9,112.4,115.8,0.562,0.5,0.45,0.307,0.697,47.1,23.3,14.4,9.4,4.3,4.1,107.1,103.0,0.542,0,11/02/2023
37,37,Indiana Pacers,Cleveland Cavaliers,0.5,0.472,0.317,0.803,42.2,30.1,11.0,6.2,5.5,-5.5,113.8,119.3,0.564,0.4,0.427,0.333,0.775,46.4,23.2,12.9,7.1,6.3,-5.2,104.4,109.7,0.527,1,11/03/2023
38,38,Chicago Bulls,Brooklyn Nets,0.4,0.426,0.302,0.817,42.9,19.6,12.8,9.6,4.4,-7.4,105.6,112.8,0.519,0.5,0.501,0.417,0.755,46.2,27.3,16.1,6.3,5.4,2.4,115.6,114.3,0.615,0,11/03/2023
39,39,Milwaukee Bucks,New York Knicks,0.5,0.482,0.359,0.734,37.6,20.7,15.6,8.8,3.4,-6.6,112.4,119.0,0.599,0.4,0.4,0.339,0.693,50.2,22.0,14.9,8.9,2.6,1.0,103.8,102.4,0.504,1,11/03/2023
40,40,Miami Heat,Washington Wizards,0.2,0.427,0.376,0.802,44.3,23.8,13.4,8.4,3.4,-7.0,104.8,110.7,0.534,0.25,0.462,0.315,0.736,38.5,25.9,12.1,9.6,4.9,-10.3,107.5,118.3,0.553,1,11/03/2023
41,41,Oklahoma City Thunder,Golden State Warriors,0.6,0.474,0.363,0.843,41.6,23.1,14.5,7.3,6.5,-0.4,109.2,110.5,0.583,0.8,0.467,0.354,0.78,47.5,27.7,15.4,8.4,5.6,8.8,113.0,104.4,0.573,0,11/03/2023
42,42,Denver Nuggets,Dallas Mavericks,0.8,0.508,0.34,0.657,43.9,29.6,14.9,7.8,7.8,7.3,113.1,105.3,0.58,1.0,0.479,0.41,0.748,44.7,22.5,12.6,5.4,3.5,8.9,121.0,111.5,0.612,1,11/03/2023
