,Unnamed: 0.2,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
249,249,Indiana Pacers,Toronto Raptors,22100284,114,97,0.4,0.458,0.341,0.764,46.2,23.5,14.9,7.1,6.8,1.6,107.9,106.6,0.555,0.474,0.441,0.352,0.779,46.0,21.9,13.4,10.2,4.6,0.7,110.6,110.0,0.536,1,2021-11-26,2021-22,0.5,0.3,1513.5547745825568,1513.3038239818868,1525.318406874959,1501.5401916894846
250,250,Utah Jazz,New Orleans Pelicans,22100289,97,98,0.667,0.467,0.342,0.787,48.0,22.1,15.3,7.8,5.8,9.0,114.2,105.3,0.586,0.2,0.424,0.337,0.817,47.1,23.6,15.9,7.4,4.3,-7.5,103.6,110.5,0.526,0,2021-11-26,2021-22,0.5,0.3,1566.5860098183616,1441.950188861243,1559.8247669697537,1448.7114317098512
251,251,LA Clippers,Detroit Pistons,22100280,107,96,0.556,0.445,0.353,0.808,44.6,22.4,14.6,8.3,4.5,3.0,105.3,102.5,0.552,0.222,0.407,0.295,0.772,42.1,21.8,15.1,8.8,4.7,-9.5,100.5,109.8,0.509,1,2021-11-26,2021-22,0.6,0.3,1514.4095269444688,1409.4522849640623,1519.868055285256,1403.9937566232752
252,252,New York Knicks,Phoenix Suns,22100282,97,118,0.556,0.442,0.368,0.765,46.2,22.2,14.3,7.1,6.4,0.8,108.4,107.7,0.554,0.833,0.479,0.358,0.788,45.8,26.2,13.4,8.7,4.3,6.8,110.3,103.8,0.574,0,2021-11-26,2021-22,0.5,1.0,1485.1854775119375,1606.397962582219,1472.040444499817,1619.5429955943391
253,253,Los Angeles Lakers,Sacramento Kings,22100291,137,141,0.5,0.456,0.349,0.752,44.4,22.7,15.4,8.0,5.6,-3.0,105.4,108.5,0.552,0.368,0.452,0.334,0.76,44.7,22.1,14.2,6.9,4.7,-2.0,109.3,110.9,0.552,0,2021-11-26,2021-22,0.5,0.2,1473.9747741593128,1455.9923830007367,1465.9843878064255,1463.9827693536238
254,254,San Antonio Spurs,Boston Celtics,22100287,96,88,0.235,0.464,0.343,0.687,43.1,27.3,13.2,8.7,5.0,-3.5,105.6,108.7,0.537,0.526,0.44,0.326,0.813,46.1,22.5,13.8,7.7,5.5,1.6,106.5,105.4,0.545,1,2021-11-26,2021-22,0.2,0.6,1437.2149225409123,1537.171124329511,1447.9603127075086,1526.4257341629148
255,255,Golden State Warriors,Portland Trail Blazers,22100290,118,103,0.889,0.477,0.367,0.783,46.7,29.1,15.9,9.6,4.9,13.3,113.0,99.7,0.596,0.526,0.462,0.356,0.795,45.9,24.1,14.0,8.3,4.9,1.4,112.1,111.0,0.572,1,2021-11-26,2021-22,0.9,0.6,1629.0179117535597,1511.869209247591,1635.2985415099413,1505.5885794912094
256,256,Orlando Magic,Chicago Bulls,22100283,88,123,0.211,0.414,0.333,0.759,45.6,22.1,15.8,6.5,4.8,-9.9,102.0,111.6,0.519,0.632,0.458,0.363,0.849,43.4,22.5,13.1,8.5,4.5,2.8,108.2,105.3,0.559,0,2021-11-26,2021-22,0.2,0.6,1411.638136945494,1512.4148666649785,1391.0528360964147,1533.0001675140577
257,257,Atlanta Hawks,New York Knicks,22100293,90,99,0.55,0.47,0.376,0.8,46.8,24.4,12.5,7.0,4.2,3.2,112.9,109.7,0.569,0.526,0.438,0.365,0.765,46.5,21.7,14.4,7.1,6.1,-0.3,107.9,108.5,0.55,0,2021-11-27,2021-22,0.7,0.4,1543.6492629875422,1472.040444499817,1529.359333483021,1486.3303740043384
258,258,Dallas Mavericks,Washington Wizards,22100298,114,120,0.588,0.436,0.331,0.745,46.0,23.1,12.4,7.8,4.3,-1.3,106.6,107.8,0.538,0.632,0.454,0.322,0.789,46.9,23.1,14.7,6.5,5.6,0.7,105.6,105.0,0.552,0,2021-11-27,2021-22,0.6,0.6,1516.8725688552668,1498.7109271228671,1507.0975950362856,1508.4859009418485
259,259,Houston Rockets,Charlotte Hornets,22100297,146,143,0.111,0.429,0.318,0.691,44.0,20.0,18.4,7.1,4.6,-10.0,98.1,108.0,0.528,0.619,0.454,0.376,0.722,44.3,25.6,13.0,8.8,5.1,0.3,109.9,109.1,0.552,1,2021-11-27,2021-22,0.1,0.8,1373.458084080998,1528.1593113883127,1381.3809661388404,1520.2364293304702
260,260,Utah Jazz,New Orleans Pelicans,22100299,127,105,0.632,0.466,0.344,0.782,47.8,21.9,15.4,7.7,5.9,8.5,113.6,105.0,0.584,0.238,0.424,0.34,0.818,46.8,23.8,15.8,7.5,4.3,-7.1,103.5,110.1,0.526,1,2021-11-27,2021-22,0.5,0.4,1559.8247669697537,1448.7114317098512,1568.2435211938987,1440.292677485706
261,261,Brooklyn Nets,Phoenix Suns,22100294,107,113,0.737,0.466,0.377,0.808,44.3,25.2,14.0,6.9,5.3,4.6,109.1,104.7,0.58,0.842,0.482,0.363,0.789,45.3,26.4,13.3,8.8,4.2,7.6,110.9,103.6,0.578,0,2021-11-27,2021-22,0.8,1.0,1585.847230164877,1619.5429955943391,1577.5549748139706,1627.8352509452457
262,262,Philadelphia 76ers,Minnesota Timberwolves,22100292,120,121,0.526,0.465,0.364,0.827,43.4,23.2,13.0,8.3,6.1,1.0,111.3,109.9,0.57,0.474,0.425,0.334,0.769,45.3,23.5,15.9,9.3,6.2,1.6,106.9,105.3,0.534,0,2021-11-27,2021-22,0.3,0.6,1508.6048740761714,1505.8626902124613,1503.7293142242238,1510.738250064409
263,263,Cleveland Cavaliers,Orlando Magic,22100295,105,92,0.474,0.444,0.329,0.769,45.5,24.2,16.2,7.9,3.6,-0.5,105.4,105.5,0.545,0.2,0.412,0.329,0.755,45.1,21.9,15.8,6.5,4.8,-11.2,101.3,112.3,0.517,1,2021-11-27,2021-22,0.4,0.2,1503.7467338707702,1391.0528360964147,1509.5915015373591,1385.2080684298255
264,264,Chicago Bulls,Miami Heat,22100296,104,107,0.65,0.463,0.372,0.84,43.6,23.0,13.2,8.7,4.3,4.4,109.0,104.4,0.563,0.632,0.463,0.347,0.809,47.5,24.5,15.2,7.7,2.5,6.5,110.6,104.3,0.57,0,2021-11-27,2021-22,0.6,0.5,1533.0001675140577,1555.5631735293591,1526.7790405185133,1561.7843005249033
265,265,Los Angeles Lakers,Detroit Pistons,22100304,110,106,0.476,0.458,0.349,0.749,44.1,22.8,15.4,7.9,5.6,-3.0,105.6,108.8,0.555,0.211,0.405,0.293,0.777,42.6,21.5,15.1,8.7,4.7,-9.6,100.1,109.4,0.507,1,2021-11-28,2021-22,0.4,0.3,1465.9843878064255,1403.9937566232752,1469.840027305298,1400.138117124403
266,266,LA Clippers,Golden State Warriors,22100300,90,105,0.579,0.444,0.349,0.816,45.0,22.6,14.6,8.3,4.5,3.4,105.2,102.0,0.551,0.895,0.481,0.365,0.782,46.8,29.2,15.8,9.5,4.9,13.5,113.4,99.9,0.598,0,2021-11-28,2021-22,0.6,0.9,1519.868055285256,1635.2985415099413,1509.1801523757051,1645.9864444194925
267,267,Indiana Pacers,Milwaukee Bucks,22100301,100,118,0.429,0.46,0.338,0.765,46.7,23.9,14.8,7.0,6.6,2.3,108.5,106.4,0.556,0.6,0.45,0.367,0.73,47.0,22.4,14.2,7.4,4.7,2.9,108.8,106.0,0.561,0,2021-11-28,2021-22,0.5,0.8,1525.318406874959,1537.2573817432256,1507.7763253049543,1554.7994633132305
268,268,Toronto Raptors,Boston Celtics,22100302,97,109,0.45,0.44,0.347,0.776,45.9,21.7,13.3,10.2,4.5,-0.3,110.2,110.5,0.534,0.5,0.436,0.324,0.807,46.4,22.4,13.7,7.6,5.7,1.1,105.8,105.2,0.54,0,2021-11-28,2021-22,0.3,0.6,1501.5401916894846,1526.4257341629148,1488.690219242146,1539.275706610253
269,269,Memphis Grizzlies,Sacramento Kings,22100303,128,101,0.474,0.444,0.336,0.773,45.7,24.9,13.4,9.5,5.8,-6.6,109.0,115.9,0.539,0.4,0.452,0.333,0.753,44.7,22.3,14.1,7.0,4.6,-1.7,109.6,110.7,0.551,1,2021-11-28,2021-22,0.4,0.3,1415.1382169450796,1463.9827693536238,1435.0001654456746,1444.1208208530288
270,270,Chicago Bulls,Charlotte Hornets,22100307,133,119,0.619,0.464,0.366,0.839,43.9,23.0,13.6,8.6,4.3,4.0,108.9,104.7,0.564,0.591,0.454,0.377,0.734,43.9,25.7,12.9,8.8,5.1,0.2,110.9,110.3,0.555,1,2021-11-29,2021-22,0.5,0.8,1526.7790405185133,1520.2364293304702,1536.8348388716684,1510.180630977315
271,271,Minnesota Timberwolves,Indiana Pacers,22100309,100,98,0.5,0.429,0.336,0.765,45.5,23.3,16.1,9.2,6.2,1.5,106.9,105.4,0.537,0.409,0.458,0.334,0.765,46.6,23.8,14.7,7.0,6.4,1.4,108.1,107.0,0.553,1,2021-11-29,2021-22,0.7,0.5,1510.738250064409,1507.7763253049543,1514.5743041213043,1503.9402712480587
272,272,Dallas Mavericks,Cleveland Cavaliers,22100310,96,114,0.556,0.438,0.333,0.744,45.5,23.2,12.1,7.7,4.3,-1.6,107.2,108.8,0.54,0.5,0.444,0.331,0.769,45.8,24.4,16.1,7.7,3.8,0.2,105.5,105.1,0.545,0,2021-11-29,2021-22,0.5,0.4,1507.0975950362856,1509.5915015373591,1489.022829101376,1527.6662674722686
273,273,Utah Jazz,Portland Trail Blazers,22100312,129,107,0.65,0.47,0.353,0.781,47.4,22.0,15.6,7.8,5.8,9.2,114.2,105.0,0.59,0.5,0.459,0.356,0.794,45.5,24.0,13.8,8.3,4.7,0.6,111.6,111.5,0.57,1,2021-11-29,2021-22,0.6,0.5,1568.2435211938987,1505.5885794912094,1578.8854423059468,1494.9466583791614
274,274,Houston Rockets,Oklahoma City Thunder,22100308,102,89,0.158,0.435,0.329,0.69,43.6,20.7,18.1,6.9,4.6,-9.3,100.1,109.2,0.536,0.316,0.41,0.313,0.735,48.3,20.6,14.3,7.1,4.4,-7.0,100.0,107.0,0.506,1,2021-11-29,2021-22,0.2,0.3,1381.3809661388404,1441.235621173849,1393.911299200185,1428.705288112504
275,275,Philadelphia 76ers,Orlando Magic,22100305,101,96,0.5,0.462,0.363,0.821,43.2,23.3,13.1,8.4,6.0,0.9,111.0,109.8,0.569,0.19,0.412,0.326,0.746,45.1,21.9,15.5,6.8,4.8,-11.3,101.0,112.0,0.515,1,2021-11-29,2021-22,0.2,0.1,1503.7293142242238,1385.2080684298255,1506.9896536884978,1381.9477289655515
276,276,LA Clippers,New Orleans Pelicans,22100313,104,123,0.55,0.442,0.348,0.807,45.1,22.3,15.1,8.3,4.4,2.5,104.4,102.2,0.549,0.227,0.425,0.334,0.818,46.7,24.0,15.8,7.5,4.2,-7.8,103.6,110.8,0.525,0,2021-11-29,2021-22,0.5,0.4,1509.1801523757051,1440.292677485706,1486.1384524555465,1463.3343774058649
277,277,San Antonio Spurs,Washington Wizards,22100311,116,99,0.278,0.463,0.338,0.69,43.7,27.0,13.1,8.6,5.0,-2.9,105.3,107.8,0.535,0.65,0.46,0.324,0.79,46.8,23.4,14.7,6.4,5.5,1.0,106.6,105.6,0.558,1,2021-11-29,2021-22,0.3,0.6,1447.9603127075086,1508.4859009418485,1462.9777370140905,1493.4684766352666
278,278,Miami Heat,Denver Nuggets,22100306,111,120,0.65,0.461,0.347,0.812,47.0,24.4,15.0,8.0,2.4,6.4,110.5,104.4,0.569,0.474,0.455,0.326,0.749,44.9,24.6,14.2,7.8,4.1,-0.8,106.4,107.5,0.547,0,2021-11-29,2021-22,0.6,0.4,1561.7843005249033,1465.7605459603883,1546.5779208973092,1480.9669255879824
279,279,Portland Trail Blazers,Detroit Pistons,22100317,110,92,0.476,0.46,0.356,0.791,45.4,23.8,13.6,7.9,4.7,-0.5,111.7,112.6,0.569,0.2,0.406,0.297,0.782,43.0,21.8,15.2,8.5,4.7,-9.3,100.2,109.2,0.509,1,2021-11-30,2021-22,0.5,0.2,1494.9466583791614,1400.138117124403,1502.8830281680068,1392.2017473355577
280,280,Toronto Raptors,Memphis Grizzlies,22100315,91,98,0.429,0.437,0.345,0.78,45.8,21.6,13.2,10.0,4.5,-0.8,109.7,110.5,0.532,0.5,0.446,0.336,0.771,46.7,25.1,13.2,9.2,6.0,-4.9,109.6,114.8,0.541,0,2021-11-30,2021-22,0.3,0.4,1488.690219242146,1435.0001654456746,1476.9186634237742,1446.7717212640464
281,281,Sacramento Kings,Los Angeles Lakers,22100318,92,117,0.381,0.446,0.326,0.749,44.8,22.0,13.8,6.9,4.8,-2.9,108.9,111.2,0.545,0.5,0.46,0.346,0.742,44.0,23.2,15.2,8.1,5.6,-2.7,105.6,108.5,0.555,0,2021-11-30,2021-22,0.3,0.4,1444.1208208530288,1469.840027305298,1423.0073314813988,1490.953516676928
282,282,Brooklyn Nets,New York Knicks,22100314,112,110,0.7,0.467,0.375,0.806,44.4,25.2,14.3,6.9,5.3,4.1,109.0,105.0,0.58,0.55,0.438,0.366,0.763,46.8,21.7,14.2,7.0,6.0,0.2,107.8,108.0,0.549,1,2021-11-30,2021-22,0.7,0.5,1577.5549748139706,1486.3303740043384,1580.1171633587096,1483.7681854595994
283,283,Phoenix Suns,Golden State Warriors,22100316,104,96,0.85,0.481,0.362,0.793,45.0,25.9,13.2,8.9,4.0,7.5,110.8,103.7,0.577,0.9,0.479,0.368,0.769,46.6,29.0,15.9,10.0,4.8,13.5,113.0,99.4,0.595,1,2021-11-30,2021-22,1.0,0.9,1627.8352509452457,1645.9864444194925,1635.7095112776085,1638.1121840871297
284,284,New Orleans Pelicans,Dallas Mavericks,22100325,107,139,0.261,0.429,0.337,0.817,46.9,24.3,15.5,7.7,4.1,-6.6,104.8,110.8,0.529,0.526,0.438,0.332,0.73,44.8,23.0,12.0,7.8,4.5,-2.5,106.6,109.2,0.538,0,2021-12-01,2021-22,0.5,0.4,1463.3343774058649,1489.022829101376,1438.0918886325526,1514.2653178746884
285,285,Washington Wizards,Minnesota Timberwolves,22100321,115,107,0.619,0.459,0.322,0.785,46.7,23.6,14.4,6.3,5.4,0.1,106.7,106.6,0.555,0.524,0.43,0.333,0.763,45.5,23.3,16.0,9.1,6.1,1.5,106.6,105.0,0.537,1,2021-12-01,2021-22,0.5,0.7,1493.4684766352666,1514.5743041213043,1501.4386414591352,1506.604139297436
286,286,Indiana Pacers,Atlanta Hawks,22100319,111,114,0.391,0.455,0.33,0.767,46.6,23.9,14.7,6.9,6.3,1.2,107.6,106.6,0.55,0.524,0.464,0.369,0.798,47.2,24.2,12.3,7.1,4.3,2.7,112.2,109.5,0.563,0,2021-12-01,2021-22,0.4,0.7,1503.9402712480587,1529.359333483021,1497.7773686548005,1535.5222360762791
287,287,Milwaukee Bucks,Charlotte Hornets,22100324,127,125,0.619,0.453,0.361,0.735,47.3,22.6,14.2,7.3,4.6,3.6,109.2,105.7,0.563,0.565,0.455,0.381,0.737,43.5,25.6,12.7,8.7,5.2,-0.4,111.2,111.3,0.557,1,2021-12-01,2021-22,0.8,0.7,1554.7994633132305,1510.180630977315,1557.9912907937817,1506.9888034967637
288,288,Oklahoma City Thunder,Houston Rockets,22100326,110,114,0.3,0.407,0.305,0.737,48.1,20.4,14.2,7.3,4.6,-7.3,99.3,106.6,0.504,0.2,0.434,0.329,0.689,44.4,21.2,17.9,6.9,4.6,-8.2,100.0,108.1,0.535,0,2021-12-01,2021-22,0.2,0.3,1428.705288112504,1393.911299200185,1420.3122052967087,1402.3043820159808
289,289,Orlando Magic,Denver Nuggets,22100320,108,103,0.182,0.412,0.322,0.748,45.5,21.8,15.3,6.8,4.9,-11.0,100.6,111.4,0.514,0.5,0.46,0.335,0.75,44.5,25.1,14.2,7.6,4.0,-0.3,107.6,108.1,0.555,1,2021-12-01,2021-22,0.1,0.4,1381.9477289655515,1480.9669255879824,1390.249248417723,1472.665406135811
290,290,LA Clippers,Sacramento Kings,22100327,115,124,0.524,0.445,0.35,0.804,44.7,22.2,15.2,8.0,4.3,1.5,104.7,103.6,0.552,0.364,0.446,0.322,0.749,44.6,22.0,14.1,7.1,4.7,-3.9,108.2,111.6,0.544,0,2021-12-01,2021-22,0.4,0.3,1486.1384524555465,1423.0073314813988,1472.1658358070424,1436.9799481299026
291,291,Boston Celtics,Philadelphia 76ers,22100322,88,87,0.524,0.435,0.326,0.816,46.8,22.5,13.9,7.4,5.6,1.6,106.0,104.9,0.542,0.524,0.459,0.36,0.817,43.7,23.3,13.0,8.4,6.0,1.1,110.4,108.9,0.564,1,2021-12-01,2021-22,0.6,0.3,1539.275706610253,1506.9896536884978,1542.0986701295517,1504.1666901691997
292,292,Miami Heat,Cleveland Cavaliers,22100323,85,111,0.619,0.462,0.347,0.807,46.7,24.9,14.8,7.7,2.4,5.6,110.9,105.6,0.569,0.524,0.45,0.336,0.769,46.0,24.6,16.3,7.5,3.8,1.0,106.0,104.6,0.55,0,2021-12-01,2021-22,0.6,0.4,1546.5779208973092,1527.6662674722686,1521.5968714876592,1552.6473168819184
293,293,New York Knicks,Chicago Bulls,22100328,115,119,0.524,0.44,0.365,0.767,46.7,22.0,14.1,6.9,5.8,0.0,108.2,108.6,0.55,0.636,0.47,0.371,0.832,43.7,23.6,13.5,8.3,4.4,4.5,110.0,105.4,0.57,0,2021-12-02,2021-22,0.4,0.6,1483.7681854595994,1536.8348388716684,1477.4233450075403,1543.1796793237274
294,294,Phoenix Suns,Detroit Pistons,22100331,114,103,0.857,0.481,0.364,0.786,44.6,26.0,13.3,9.0,4.0,7.5,110.7,103.5,0.577,0.19,0.405,0.295,0.786,43.2,21.6,15.4,8.3,4.8,-9.7,99.8,109.3,0.51,1,2021-12-02,2021-22,1.0,0.2,1635.7095112776085,1392.2017473355577,1638.3264983226234,1389.5847602905424
295,295,Portland Trail Blazers,San Antonio Spurs,22100332,83,114,0.5,0.458,0.355,0.79,45.3,23.9,13.5,8.0,4.7,0.3,111.6,111.7,0.567,0.316,0.466,0.342,0.687,44.3,27.2,13.0,8.4,5.1,-1.8,106.4,107.8,0.538,0,2021-12-02,2021-22,0.6,0.3,1502.8830281680068,1462.9777370140905,1472.7287395948383,1493.1320255872588
296,296,Toronto Raptors,Milwaukee Bucks,22100329,97,93,0.409,0.435,0.34,0.779,45.8,21.3,13.5,9.8,4.8,-1.1,108.9,110.0,0.529,0.636,0.455,0.362,0.739,47.0,22.9,14.1,7.4,4.4,3.6,109.7,106.2,0.565,1,2021-12-02,2021-22,0.3,0.8,1476.9186634237742,1557.9912907937817,1483.916572640583,1550.9933815769732
297,297,Memphis Grizzlies,Oklahoma City Thunder,22100330,152,79,0.524,0.444,0.334,0.775,47.0,24.8,13.4,9.3,6.2,-4.3,109.1,113.7,0.538,0.286,0.41,0.303,0.739,47.5,20.2,14.2,7.4,4.7,-7.2,100.0,107.1,0.506,1,2021-12-02,2021-22,0.5,0.1,1446.7717212640464,1420.3122052967087,1477.3193783860495,1389.7645481747056
298,298,Atlanta Hawks,Philadelphia 76ers,22100335,96,98,0.545,0.466,0.374,0.799,47.0,24.2,12.3,6.9,4.5,2.7,112.4,109.7,0.565,0.5,0.455,0.356,0.815,44.0,23.2,12.7,8.3,6.2,1.0,109.7,108.3,0.559,0,2021-12-03,2021-22,0.8,0.3,1535.5222360762791,1504.1666901691997,1529.1729991116326,1510.515927133846
299,299,Washington Wizards,Cleveland Cavaliers,22100334,101,116,0.636,0.461,0.322,0.781,47.0,24.1,14.4,6.3,5.5,0.5,107.1,106.6,0.556,0.545,0.453,0.344,0.777,46.1,24.8,16.6,7.5,4.3,2.2,106.6,104.1,0.556,0,2021-12-03,2021-22,0.5,0.5,1501.4386414591352,1552.6473168819184,1487.843309958802,1566.2426483822514
300,300,Indiana Pacers,Miami Heat,22100333,104,113,0.375,0.456,0.329,0.769,46.3,23.9,14.5,7.0,6.2,1.0,107.8,107.1,0.551,0.591,0.458,0.346,0.804,46.1,24.8,14.7,7.8,2.5,4.2,110.1,106.2,0.565,0,2021-12-03,2021-22,0.3,0.6,1497.7773686548005,1521.5968714876592,1486.9903921170512,1532.3838480254085
301,301,Dallas Mavericks,New Orleans Pelicans,22100338,91,107,0.55,0.45,0.341,0.731,44.4,23.5,12.3,7.7,4.4,-0.7,108.6,109.4,0.55,0.25,0.43,0.338,0.819,46.4,24.3,15.6,7.8,4.0,-7.7,105.1,112.3,0.53,0,2021-12-03,2021-22,0.4,0.4,1514.2653178746884,1438.0918886325526,1493.3792537186375,1458.9779527886035
302,302,Brooklyn Nets,Minnesota Timberwolves,22100336,110,105,0.714,0.468,0.372,0.81,44.3,25.4,14.1,6.9,5.4,4.0,109.5,105.5,0.58,0.5,0.429,0.332,0.768,45.3,23.0,15.8,8.8,6.1,1.1,106.6,105.5,0.537,1,2021-12-03,2021-22,0.8,0.7,1580.1171633587096,1506.604139297436,1584.1806285726018,1502.5406740835438
303,303,Houston Rockets,Orlando Magic,22100337,118,116,0.238,0.437,0.332,0.697,44.2,21.4,18.0,7.0,4.9,-7.7,100.8,108.3,0.539,0.217,0.417,0.319,0.747,45.3,22.0,15.2,6.8,4.9,-10.3,101.0,111.1,0.517,1,2021-12-03,2021-22,0.4,0.2,1402.3043820159808,1390.249248417723,1405.9934322218908,1386.560198211813
304,304,Golden State Warriors,Phoenix Suns,22100340,118,96,0.857,0.476,0.367,0.768,46.9,28.9,16.3,9.8,4.8,12.5,112.4,99.8,0.592,0.864,0.484,0.37,0.782,44.7,25.9,13.3,9.0,4.0,7.7,111.0,103.6,0.579,1,2021-12-03,2021-22,0.8,1.0,1638.1121840871297,1638.3264983226234,1652.2026941644783,1624.2359882452745
305,305,Utah Jazz,Boston Celtics,22100339,137,130,0.667,0.473,0.357,0.777,47.3,22.4,15.1,7.7,5.7,9.8,115.2,105.4,0.593,0.545,0.434,0.328,0.813,46.9,22.3,13.9,7.4,5.7,1.6,105.6,104.5,0.541,1,2021-12-03,2021-22,0.6,0.6,1578.8854423059468,1542.0986701295517,1584.643567775448,1536.3405446600505
306,306,Los Angeles Lakers,LA Clippers,22100341,115,119,0.522,0.462,0.348,0.74,44.2,23.1,15.2,8.2,5.7,-1.5,106.2,107.9,0.556,0.5,0.446,0.348,0.802,44.9,22.7,15.1,8.0,4.4,1.0,105.2,104.5,0.552,0,2021-12-03,2021-22,0.5,0.3,1490.953516676928,1472.1658358070424,1482.943924873048,1480.1754276109225
307,307,Golden State Warriors,San Antonio Spurs,22100346,107,112,0.864,0.476,0.372,0.767,47.1,28.9,16.3,9.8,4.9,13.0,112.6,99.6,0.592,0.35,0.467,0.345,0.69,44.5,27.4,13.1,8.5,5.1,-0.2,106.7,106.6,0.54,0,2021-12-04,2021-22,0.8,0.4,1652.2026941644783,1493.1320255872588,1639.4946875427163,1505.8400322090208
308,308,New York Knicks,Denver Nuggets,22100342,99,113,0.5,0.443,0.364,0.77,46.3,21.9,14.3,7.1,5.9,-0.1,108.5,109.1,0.553,0.476,0.461,0.333,0.748,44.1,24.9,14.3,7.5,4.0,-0.5,107.4,108.2,0.556,0,2021-12-04,2021-22,0.4,0.3,1477.4233450075403,1472.665406135811,1461.8120921016307,1488.276659041721
309,309,Brooklyn Nets,Chicago Bulls,22100343,107,111,0.727,0.468,0.368,0.808,44.1,25.4,14.2,6.8,5.3,4.0,109.3,105.4,0.58,0.652,0.471,0.371,0.837,43.5,23.6,13.6,8.4,4.5,4.5,110.4,105.7,0.571,0,2021-12-04,2021-22,0.8,0.6,1584.1806285726018,1543.1796793237274,1575.6380372485346,1551.7222706477946
310,310,Milwaukee Bucks,Miami Heat,22100344,124,102,0.609,0.452,0.362,0.738,47.2,22.7,14.2,7.3,4.4,3.2,109.5,106.3,0.561,0.609,0.461,0.351,0.805,45.9,24.8,14.7,7.7,2.6,4.4,110.7,106.6,0.568,1,2021-12-04,2021-22,0.8,0.6,1550.9933815769732,1532.3838480254085,1563.9860234268249,1519.391206175557
311,311,Sacramento Kings,LA Clippers,22100348,104,99,0.391,0.449,0.325,0.752,44.3,22.3,14.0,7.1,4.6,-3.3,108.9,111.7,0.548,0.522,0.449,0.352,0.806,44.6,23.0,14.9,7.9,4.3,1.2,106.1,105.2,0.556,1,2021-12-04,2021-22,0.4,0.4,1436.9799481299026,1480.1754276109225,1443.728823746159,1473.4265519946662
312,312,Portland Trail Blazers,Boston Celtics,22100347,117,145,0.478,0.454,0.354,0.789,45.1,23.6,13.7,8.0,4.7,-1.1,110.4,111.8,0.563,0.522,0.438,0.329,0.822,46.2,22.4,13.6,7.4,5.6,1.3,106.6,106.0,0.545,0,2021-12-04,2021-22,0.5,0.6,1472.7287395948383,1536.3405446600505,1452.6306822473182,1556.4386020075706
313,313,Dallas Mavericks,Memphis Grizzlies,22100345,90,97,0.524,0.448,0.339,0.726,44.3,23.2,12.5,7.6,4.3,-1.5,107.8,109.4,0.548,0.545,0.452,0.343,0.773,47.3,25.5,13.3,9.7,6.4,-0.9,111.1,112.3,0.547,0,2021-12-04,2021-22,0.4,0.6,1493.3792537186375,1477.3193783860495,1482.8112695516586,1487.8873625530284
314,314,Toronto Raptors,Washington Wizards,22100351,102,90,0.435,0.435,0.34,0.775,46.0,21.4,13.5,9.9,4.9,-0.9,108.9,109.7,0.529,0.609,0.461,0.322,0.782,46.4,24.0,14.2,6.3,5.4,-0.2,107.1,107.2,0.556,1,2021-12-05,2021-22,0.3,0.4,1483.916572640583,1487.843309958802,1493.4283845361315,1478.331498063253
315,315,Atlanta Hawks,Charlotte Hornets,22100350,127,130,0.522,0.464,0.373,0.799,47.1,24.1,12.5,6.9,4.4,2.5,112.1,109.5,0.564,0.542,0.457,0.383,0.742,43.1,25.7,12.9,8.7,5.4,-0.5,111.5,111.7,0.561,0,2021-12-05,2021-22,0.8,0.6,1529.1729991116326,1506.9888034967637,1522.0209847382228,1514.1408178701736
316,316,Cleveland Cavaliers,Utah Jazz,22100349,108,109,0.565,0.454,0.347,0.776,46.5,25.1,16.6,7.3,4.4,2.8,107.2,104.2,0.557,0.682,0.477,0.366,0.781,47.2,22.6,15.3,7.5,5.6,9.7,116.2,106.5,0.6,0,2021-12-05,2021-22,0.5,0.7,1566.2426483822514,1584.643567775448,1561.683333530822,1589.2028826268777
317,317,Houston Rockets,New Orleans Pelicans,22100352,118,108,0.273,0.439,0.334,0.702,43.8,21.9,17.7,7.0,4.9,-7.2,101.6,108.6,0.542,0.28,0.429,0.34,0.815,46.8,24.5,15.4,7.7,4.0,-6.7,105.3,111.5,0.53,1,2021-12-05,2021-22,0.5,0.5,1405.9934322218908,1458.9779527886035,1416.331111883543,1448.6402731269511
318,318,Portland Trail Blazers,LA Clippers,22100362,90,102,0.458,0.455,0.352,0.789,44.6,23.6,13.5,7.9,4.6,-2.2,110.7,113.3,0.563,0.5,0.446,0.353,0.798,44.6,23.0,15.0,7.9,4.3,0.9,105.7,105.0,0.553,0,2021-12-06,2021-22,0.5,0.3,1452.6306822473182,1473.4265519946662,1439.6069791543305,1486.450255087654
