,Unnamed: 0.9,Unnamed: 0,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
0,0,0.0,Los Angeles Lakers,Memphis Grizzlies,22100040,121,118,0.0,0.436,0.395,0.646,42.9,21.7,16.0,6.6,3.3,-8.0,103.3,109.8,0.542,1.0,0.5,0.42,0.892,49.5,26.5,11.3,6.4,5.4,8.3,123.5,116.3,0.611,1,10/24/2021
1,1,1.0,New York Knicks,Orlando Magic,22100036,104,110,1.0,0.492,0.414,0.636,41.7,27.4,13.5,8.5,6.3,13.0,116.1,104.1,0.61,0.0,0.402,0.361,0.816,46.9,21.4,18.2,5.7,4.7,-26.6,100.5,125.8,0.52,0,10/24/2021
2,2,2.0,Brooklyn Nets,Charlotte Hornets,22100035,95,111,0.5,0.453,0.414,0.702,45.7,22.6,13.1,4.5,7.5,-9.0,109.5,118.6,0.566,1.0,0.475,0.413,0.727,43.4,28.8,12.3,10.4,2.8,5.7,116.0,109.9,0.566,0,10/24/2021
3,3,3.0,Sacramento Kings,Golden State Warriors,22100039,107,119,0.5,0.424,0.325,0.76,45.5,21.1,12.0,10.0,4.3,-2.9,107.7,110.5,0.528,1.0,0.477,0.414,0.75,47.9,26.5,17.7,6.5,2.8,4.2,109.8,105.1,0.593,0,10/24/2021
4,4,4.0,Houston Rockets,Boston Celtics,22100037,97,107,0.5,0.481,0.394,0.722,44.6,23.5,19.2,11.7,6.1,7.0,108.0,101.9,0.578,0.0,0.402,0.352,0.735,43.6,23.6,19.1,8.4,9.3,-16.0,96.4,111.9,0.507,0,10/24/2021
5,5,5.0,Oklahoma City Thunder,Philadelphia 76ers,22100038,103,115,0.0,0.374,0.269,0.588,44.9,20.7,17.2,6.6,3.0,-27.3,89.4,114.9,0.449,0.5,0.494,0.443,0.806,41.8,20.9,11.7,8.7,7.1,7.7,115.3,107.7,0.596,0,10/24/2021
6,6,6.0,Brooklyn Nets,Washington Wizards,22100044,104,90,0.333,0.448,0.362,0.729,44.9,20.9,14.3,6.3,7.6,-11.3,104.0,115.7,0.549,1.0,0.486,0.369,0.867,42.2,20.9,14.7,9.0,6.6,7.6,110.4,102.4,0.598,1,10/25/2021
7,7,7.0,LA Clippers,Portland Trail Blazers,22100049,116,86,0.0,0.436,0.342,0.789,41.1,23.3,6.9,7.9,3.0,-4.0,112.4,116.9,0.536,0.5,0.513,0.388,0.769,46.6,23.6,10.6,6.3,4.8,12.5,122.6,110.1,0.625,1,10/25/2021
8,8,8.0,Miami Heat,Orlando Magic,22100045,107,90,0.5,0.46,0.353,0.711,52.6,21.4,15.3,5.6,1.9,14.4,106.0,93.4,0.551,0.333,0.405,0.33,0.792,49.8,21.4,16.3,6.1,4.4,-15.3,102.7,117.2,0.525,1,10/25/2021
9,9,9.0,Atlanta Hawks,Detroit Pistons,22100043,122,104,0.5,0.43,0.362,0.708,54.2,25.4,10.9,6.5,6.0,10.0,103.5,93.5,0.511,0.0,0.393,0.196,0.679,50.5,15.7,20.2,8.1,6.6,-10.6,85.9,95.5,0.447,1,10/25/2021
10,10,10.0,Indiana Pacers,Milwaukee Bucks,22100042,109,119,0.333,0.465,0.35,0.8,46.5,23.6,14.2,5.3,6.6,2.8,112.6,109.4,0.573,0.667,0.456,0.361,0.739,43.9,21.0,14.5,6.5,4.5,-2.9,110.6,112.8,0.567,0,10/25/2021
11,11,11.0,Denver Nuggets,Cleveland Cavaliers,22100048,87,99,1.0,0.521,0.377,0.588,42.6,25.0,19.6,9.3,1.5,8.8,103.9,95.6,0.601,0.333,0.477,0.309,0.769,41.0,28.3,13.0,6.8,4.6,-5.2,108.8,113.6,0.567,0,10/25/2021
12,12,12.0,Minnesota Timberwolves,New Orleans Pelicans,22100047,98,107,1.0,0.443,0.368,0.732,43.5,22.4,17.8,14.5,9.3,11.7,102.8,91.5,0.547,0.0,0.416,0.374,0.771,47.9,22.5,19.9,7.2,5.2,-14.0,97.1,110.7,0.514,0,10/25/2021
13,13,13.0,Charlotte Hornets,Boston Celtics,22100041,129,140,1.0,0.469,0.387,0.746,44.7,27.8,12.1,10.2,3.5,8.9,114.1,104.4,0.558,0.333,0.414,0.341,0.759,43.3,23.0,16.9,8.9,8.3,-8.0,99.4,107.7,0.525,0,10/25/2021
14,14,14.0,Toronto Raptors,Chicago Bulls,22100046,108,111,0.333,0.376,0.264,0.803,54.2,17.6,14.3,11.0,4.0,3.0,97.3,94.7,0.471,1.0,0.459,0.416,0.831,44.9,24.4,14.5,9.9,7.6,12.2,105.3,93.7,0.56,0,10/25/2021
15,15,15.0,San Antonio Spurs,Los Angeles Lakers,22100053,121,125,0.333,0.488,0.312,0.711,39.9,28.2,13.6,9.6,3.0,3.3,109.6,106.3,0.554,0.333,0.468,0.434,0.657,40.4,23.9,16.2,7.6,6.1,-4.5,108.3,112.0,0.575,0,10/26/2021
16,16,16.0,New York Knicks,Philadelphia 76ers,22100050,112,99,0.667,0.451,0.367,0.652,44.5,24.8,12.9,8.3,6.7,7.1,111.3,104.9,0.561,0.667,0.485,0.431,0.804,44.0,22.5,11.9,7.2,7.8,9.2,116.4,107.2,0.595,1,10/26/2021
17,17,17.0,Utah Jazz,Denver Nuggets,22100054,122,110,1.0,0.425,0.337,0.868,52.3,17.1,14.6,10.1,4.0,15.1,109.0,94.4,0.549,0.667,0.482,0.327,0.621,44.4,23.8,20.5,9.6,2.0,2.0,99.0,97.7,0.558,1,10/26/2021
18,18,18.0,Dallas Mavericks,Houston Rockets,22100052,116,106,0.5,0.375,0.318,0.806,50.8,20.3,12.2,6.6,4.6,-9.1,96.4,105.6,0.481,0.333,0.465,0.408,0.75,43.3,22.4,19.6,10.3,5.4,1.6,104.8,103.2,0.575,1,10/26/2021
19,19,19.0,Oklahoma City Thunder,Golden State Warriors,22100051,98,106,0.0,0.406,0.266,0.66,44.4,22.0,15.3,7.5,3.4,-22.4,94.9,116.1,0.484,1.0,0.465,0.393,0.776,46.3,26.3,14.3,8.3,2.9,6.7,112.7,105.4,0.579,0,10/26/2021
20,20,20.0,Brooklyn Nets,Miami Heat,22100057,93,106,0.5,0.442,0.343,0.75,46.8,21.3,12.9,6.2,6.7,-5.0,103.2,108.2,0.54,0.667,0.464,0.316,0.797,49.7,23.7,14.1,7.1,1.9,15.4,107.4,92.6,0.554,0,10/27/2021
21,21,21.0,Phoenix Suns,Sacramento Kings,22100062,107,110,0.333,0.462,0.34,0.717,42.6,26.6,14.4,7.5,2.0,-10.2,104.3,115.2,0.551,0.333,0.444,0.325,0.73,45.8,22.6,14.2,6.8,4.2,-5.8,107.1,113.3,0.545,0,10/27/2021
22,22,22.0,Boston Celtics,Washington Wizards,22100056,107,116,0.5,0.435,0.351,0.785,44.0,24.5,15.2,8.4,8.2,-3.4,105.2,109.4,0.551,0.667,0.437,0.317,0.831,45.1,19.0,13.7,7.6,6.0,0.6,102.5,101.9,0.541,0,10/27/2021
23,23,23.0,LA Clippers,Cleveland Cavaliers,22100064,79,92,0.333,0.448,0.336,0.772,39.7,26.5,9.8,11.7,3.8,6.9,108.2,101.9,0.548,0.5,0.474,0.303,0.776,43.3,28.0,13.9,7.2,4.7,-1.0,107.2,107.6,0.562,0,10/27/2021
